product_code,categoria,subcategoria,producto,packaging_mode,cajas_por_pack,unidades_por_pack,unidades_por_caja,active,created_at,updated_at
PROD-TOR-000002,TORTAS,,TORTA_FRUTILLA,PACK_UNIDADES,,6.0,,True,2026-08-18T15:45:54.008055-03:00,2026-08-18T15:45:54.008055-03:00
PROD-TOR-000003,TORTAS,,TORTA_COOKIES_AND_CREAM,PACK_UNIDADES,,6.0,,True,2026-08-18T15:46:15.774246-03:00,2026-08-18T15:46:15.774246-03:00
PROD-FAM-000001,FAMILIARES,,FAM_1,PACK_UNIDADES,,6.0,,True,2026-08-18T15:47:26.226439-03:00,2026-08-18T15:47:26.226439-03:00
PROD-FAM-000002,FAMILIARES,,FAM_2,PACK_UNIDADES,,6.0,,True,2026-08-18T15:47:40.538247-03:00,2026-08-18T15:47:40.538247-03:00
PROD-FAM-000003,FAMILIARES,,FAM_3,PACK_UNIDADES,,6.0,,True,2026-08-18T15:47:57.684916-03:00,2026-08-18T15:47:57.684916-03:00
PROD-FAM-000004,FAMILIARES,,FAM_4,PACK_UNIDADES,,6.0,,True,2026-08-18T15:49:28.193849-03:00,2026-08-18T15:49:28.193849-03:00
PROD-BOM-000002,BOMBONES,,BOMBON_SUIZO,PACK_CAJAS_UNIDADES,6.0,,8.0,True,2026-08-18T15:53:03.659301-03:00,2026-08-18T15:53:03.659301-03:00
PROD-BOM-000003,BOMBONES,,BOMBON_CROCANTE,PACK_CAJAS_UNIDADES,6.0,,8.0,True,2026-08-18T15:53:15.925216-03:00,2026-08-18T15:53:15.925216-03:00
PROD-BOM-000004,BOMBONES,,BOMBON_FRUTEZZA,PACK_CAJAS_UNIDADES,6.0,,8.0,True,2026-08-18T15:53:27.851954-03:00,2026-08-18T15:53:27.851954-03:00
PROD-BOM-000005,BOMBONES,,ALFAJOR_SECRETO,PACK_CAJAS_UNIDADES,6.0,,6.0,True,2026-08-18T15:53:56.595954-03:00,2026-08-18T15:53:56.595954-03:00
PROD-POS-000001,POSTRES,,CASATTA,PACK_CAJAS_UNIDADES,6.0,,8.0,True,2026-08-18T15:57:18.417703-03:00,2026-08-18T15:57:18.417703-03:00
PROD-POS-000002,POSTRES,,ALMENDRADO,PACK_CAJAS_UNIDADES,6.0,,8.0,True,2026-08-18T15:58:03.405872-03:00,2026-08-18T15:58:03.405872-03:00
PROD-TEN-000001,TENTACIONES,,TENTACION_CHOCOLATE,PACK_UNIDADES,,6.0,,True,2026-08-18T16:03:37.763090-03:00,2026-08-18T16:03:37.763090-03:00
PROD-TEN-000002,TENTACIONES,,TENTACION_CHOCOLATE_CON_ALMENDRAS,PACK_UNIDADES,,6.0,,True,2026-08-18T16:03:59.217562-03:00,2026-08-18T16:03:59.217562-03:00
PROD-TEN-000003,TENTACIONES,,TENTACION_DULCE_DE_LECHE,PACK_UNIDADES,,6.0,,True,2026-08-18T16:04:12.498673-03:00,2026-08-18T16:04:12.498673-03:00
PROD-TEN-000004,TENTACIONES,,TENTACION_DULCE_DE_LECHE_GRANIZADO,PACK_UNIDADES,,6.0,,True,2026-08-18T16:04:30.579120-03:00,2026-08-18T16:04:30.579120-03:00
PROD-TEN-000005,TENTACIONES,,TENTACION_AMERICANA,PACK_UNIDADES,,6.0,,True,2026-08-18T16:04:51.844489-03:00,2026-08-18T16:04:51.844489-03:00
PROD-TEN-000006,TENTACIONES,,TENTACION_GRANIZADO,PACK_UNIDADES,,6.0,,True,2026-08-18T16:05:07.898157-03:00,2026-08-18T16:05:07.898157-03:00
PROD-TEN-000007,TENTACIONES,,TENTACION_CREMA_COOKIE,PACK_UNIDADES,,6.0,,True,2026-08-18T16:05:21.578168-03:00,2026-08-18T16:05:21.578168-03:00
PROD-TEN-000008,TENTACIONES,,TENTACION_LIMON,PACK_UNIDADES,,6.0,,True,2026-08-18T16:05:51.429800-03:00,2026-08-18T16:05:51.429800-03:00
PROD-TEN-000009,TENTACIONES,,TENTACION_FRUTILLA,PACK_UNIDADES,,6.0,,True,2026-08-18T16:06:11.950266-03:00,2026-08-18T16:06:11.950266-03:00
PROD-TEN-000010,TENTACIONES,,TENTACION_TODDY,PACK_UNIDADES,,6.0,,True,2026-08-18T16:08:10.240821-03:00,2026-08-18T16:08:10.240821-03:00
PROD-TEN-000011,TENTACIONES,,TENTACION_VAINILLA,PACK_UNIDADES,,6.0,,True,2026-08-18T16:09:24.888584-03:00,2026-08-18T16:09:24.888584-03:00
PROD-TEN-000012,TENTACIONES,,TENTACION_MENTA,PACK_UNIDADES,,6.0,,True,2026-08-18T16:10:12.668496-03:00,2026-08-18T16:10:12.668496-03:00
PROD-PAL-000001,PALITOS,,PALITO_FRUTILLA_AGUA_X_20,PACK_CAJAS_UNIDADES,4.0,,20.0,True,2026-08-18T16:11:58.593877-03:00,2026-08-18T16:11:58.593877-03:00
PROD-PAL-000002,PALITOS,,PALITO_LIMON_AGUA_X_20,PACK_CAJAS_UNIDADES,4.0,,20.0,True,2026-08-18T16:12:11.675550-03:00,2026-08-18T16:12:11.675550-03:00
PROD-PAL-000003,PALITOS,,PALITO_NARANJA_AGUA_X_20,PACK_CAJAS_UNIDADES,4.0,,20.0,True,2026-08-18T16:12:27.040866-03:00,2026-08-18T16:12:27.040866-03:00
PROD-PAL-000004,PALITOS,,PALITO_NARANJA_AGUA_X_10,PACK_CAJAS_UNIDADES,10.0,,10.0,True,2026-08-18T16:12:50.004742-03:00,2026-08-18T16:12:50.004742-03:00
PROD-PAL-000005,PALITOS,,PALITO_FRUTILLA_CREMA_X_10,PACK_CAJAS_UNIDADES,10.0,,10.0,True,2026-08-18T16:14:28.476981-03:00,2026-08-18T16:14:28.476981-03:00
PROD-PAL-000006,PALITOS,,PALITO_AMERICANA_CREMA_X_10,PACK_CAJAS_UNIDADES,10.0,,10.0,True,2026-08-18T16:14:57.078983-03:00,2026-08-18T16:14:57.078983-03:00
PROD-PAL-000007,PALITOS,,PALITO_BOMBON_X_10,PACK_CAJAS_UNIDADES,10.0,,10.0,True,2026-08-18T16:15:24.469015-03:00,2026-08-18T16:15:24.469015-03:00
PROD-PAL-000008,PALITOS,,PALITO_FRUTILLA_CREMA_X_20,PACK_CAJAS_UNIDADES,4.0,,20.0,True,2026-08-18T16:16:07.426399-03:00,2026-08-18T16:16:07.426399-03:00
PROD-POS-000003,POSTRES,,CROCANTINO,PACK_CAJAS_UNIDADES,4.0,,1.0,True,2026-08-18T16:59:58.129197-03:00,2026-08-18T16:59:58.129197-03:00
PROD-POS-000004,POSTRES,,DELICIA,PACK_CAJAS_UNIDADES,4.0,,1.0,True,2026-08-18T17:00:35.806519-03:00,2026-08-18T17:00:35.806519-03:00
PROD-FRZ-000001,FRIZZIO,PIZZAS,PIZZA_MOZZARELLA,CAJA_UNIDADES,,,12.0,True,2026-08-18T18:45:08.650675-03:00,2026-08-18T18:45:08.650675-03:00
PROD-FRZ-000002,FRIZZIO,PIZZAS,PIZZA_INTEGRAL,CAJA_UNIDADES,,,12.0,True,2026-08-18T18:45:24.821522-03:00,2026-08-18T18:45:24.821522-03:00
PROD-FRZ-000003,FRIZZIO,PIZZAS,PIZZA_JAMON,CAJA_UNIDADES,,,11.0,True,2026-08-18T18:45:43.795908-03:00,2026-08-18T18:45:43.795908-03:00
PROD-FRZ-000004,FRIZZIO,PIZZAS,PIZZA__CEBOLLA,CAJA_UNIDADES,,,11.0,True,2026-08-18T18:47:10.458957-03:00,2026-08-18T18:47:10.458957-03:00
PROD-FRZ-000005,FRIZZIO,BASTONCITOS_MOZZARELLA,BASTONCITOS_MOZZARELLA,CAJA_UNIDADES,,,16.0,True,2026-08-18T18:51:10.625489-03:00,2026-08-18T18:51:10.625489-03:00
PROD-FRZ-000006,FRIZZIO,PIZZAS,MINI_FRIZZIO,CAJA_UNIDADES,,,20.0,True,2026-08-18T18:52:16.915419-03:00,2026-08-18T18:52:16.915419-03:00
PROD-FRZ-000007,FRIZZIO,PIZZAS,PIZZA_CASERA,CAJA_UNIDADES,,,8.0,True,2026-08-18T18:59:39.400267-03:00,2026-08-18T18:59:39.400267-03:00
